,State,Population,Employment,Yr_Mean_Wage,Hr_Mean_Wage
0,Alabama,4874747,1922570,43170,20.76
1,Alaska,739795,318170,57750,27.77
2,Arizona,7016270,2704050,48160,23.15
3,Arkansas,3004279,1200130,40530,19.49
4,California,39536653,16695010,57190,27.5
5,Colorado,5607154,2555300,54050,25.99
6,Connecticut,3588184,1654420,59410,28.56
7,Delaware,961939,442690,52200,25.1
8,District of Columbia,693972,708220,85720,41.21
9,Florida,20984400,8419030,44790,21.53
10,Georgia,10429379,4303530,47200,22.69
11,Hawaii,1427538,632990,52050,25.02
12,Idaho,1716943,685630,42240,20.31
13,Illinois,12802023,5927860,52410,25.2
14,Indiana,6666818,3018490,43950,21.13
15,Iowa,3145711,1535460,44730,21.5
16,Kansas,2913123,1369110,44570,21.43
17,Kentucky,4454189,1876430,42410,20.39
18,Louisiana,4684333,1902060,41590,19.99
19,Maine,1335907,599180,45300,21.78
20,Maryland,6052177,2664330,57270,27.53
21,Massachusetts,6859819,3528070,62110,29.86
22,Michigan,9962311,4276040,48300,23.22
23,Minnesota,5576606,2838270,52730,25.35
24,Mississippi,2984100,1119470,38910,18.71
25,Missouri,6113532,2788680,45520,21.89
26,Montana,1050493,460740,42400,20.39
27,Nebraska,1920076,970230,45530,21.89
28,Nevada,2998039,1310220,45040,21.65
29,New Hampshire,1342795,649950,51040,24.54
30,New Jersey,9005644,4007470,56970,27.39
31,New Mexico,2088070,801080,44840,21.56
32,New York,19849399,9207870,60100,28.9
33,North Carolina,10273419,4298390,46080,22.15
34,North Dakota,755393,416670,48130,23.14
35,Ohio,11658609,5370640,46950,22.57
36,Oklahoma,3930864,1573000,43340,20.84
37,Oregon,4142776,1830790,51010,24.52
38,Pennsylvania,12805537,5781610,48760,23.44
39,Rhode Island,1059639,475910,53110,25.54
40,South Carolina,5024369,2009460,42240,20.31
41,South Dakota,869666,419470,40770,19.6
42,Tennessee,6715984,2915750,43550,20.94
43,Texas,28304596,11890880,48700,23.42
44,Utah,3101833,1410670,46460,22.33
45,Vermont,623657,305110,48840,23.48
46,Virginia,8470020,3789910,53980,25.95
47,Washington,7405743,3186610,57480,27.63
48,West Virginia,1815857,688530,41400,19.9
49,Wisconsin,5795483,2825170,46270,22.24
50,Wyoming,579315,267980,47650,22.91
51,Guam,0,61520,35980,17.3
52,Puerto Rico,0,875780,28930,13.91
53,Virgin Islands,0,37490,39770,19.12
