,city,salary,state,title,zipcode
0,Oak Ridge,,TN,Software Engineer,37831
2,Chattanooga,,TN,Data Analyst II - Integration,37402
5,Pleasant View,,TN,Software Support Engineer, 
6,Nashville,,TN,Data Analyst III, 
7,Tennessee,, ,Software Engineer, 
10,Nashville,$40 - $45 an hour,TN,Data Analyst (Spotfire/Tableau), 
12,Knoxville,"$90,000 - $120,000 a year",TN,Senior Software Engineer, 
13,Nashville,,TN,Data Analyst, 
15,Elmwood Park,,NJ,SQL Developer/Data Engineer,07407
16,Jersey City,"$63,000 - $68,000 a year",NJ,Junior Business Analyst, 
19,East Brunswick,,NJ,Clinical Data Analyst, 
20,Princeton,"$58,000 - $88,000 a year (Indeed est.)",NJ,Software Engineer,08540
21,New Brunswick,,NJ,Lab Data Analyst,08901
23,Township of Brick,$40 - $50 an hour,NJ,MUMPS Developer - 100% Remote, 
24,Township of Warren,,NJ,Data Analyst, 
25,Newark,,NJ,Software Development Engineer II - International expansion, 
26,Roseland,,NJ,Associate Software Developer, 
27,Jersey City,,NJ,Entry Level Software Engineer,07310
28,Lakehurst Naval Air Center,"$80,000 - $100,000 a year",NJ,Software Configuration Engineer, 
29,Princeton,,NJ,Software Engineer - Angular/Javascript,08540
30,Livingston,,NJ,"AVP, Application Development",07039
31,Princeton,,NJ,Entities Data Analyst xe2x80x93 Simplified Chinese, 
32,Monmouth Junction,,NJ,Software Development Engineer in Test (SDET),08852
33,Woodbridge,,NJ,Data Engineer,07095
36,Parsippany,,NJ,Software Development Engineering Intern, 
37,Township of Warren,,NJ,Reporting Data Analyst,07059
38,Jersey City,,NJ,BI Data Analyst, 
39,Franklin Lakes,,NJ,Associate Software Engineer,07417
40,Eatontown,,NJ,Jr. Software Developer - Didactic,07724
41,Princeton,,NJ,Data Scientist/ Machine Learning Research Professional,08540
43,Basking Ridge,,NJ,Software Engineer - Multiple locations,07920
46,Collierville,,TN,Business Analyst, 
48,Nashville,,TN,Software Developer,37217
49,Memphis,,TN,Healthcare Quality Data Analyst,38120
50,Knoxville,,TN,Software Engineer,37932
51,Nashville,,TN,Junior Data Analyst,37214
54,Lawrenceville,,NJ,Associate Data Engineer, 
55,Wayne,,NJ,Associate Data Scientist,07470
56,Township of Hamilton,,NJ,Sr. Data Analyst, 
57,Jersey City,,NJ,Data Analyst, 
58,Union,,NJ,Data Analyst, 
59,Basking Ridge,,NJ,Data Scientist xe2x80x93 Predictive & Prescriptive Analytics,07920
60,Roseland,,NJ,Junior Programmer Analyst, 
61,Morristown,$47 - $67 an hour (Indeed est.),NJ,Alteryx ETL Developer,07960
62,South Amboy,,NJ,Data Analyst, 
63,Moorestown,,NJ,Software Engineering Associate - Entry level,08057
65,Piscataway,,NJ,Software Engineer, 
67,Florham Park,,NJ,Entry Level Software Engineer,07932
68,Piscataway,,NJ,Senior Data Analyst,08854
69,Monmouth Junction,,NJ,Data Engineer,08852
70,North Brunswick,,NJ,Business Analyst,08902
71,Jersey City,,NJ,Full-Stack Software Engineer, 
73,Jersey City,"$65,000 - $140,000 a year",NJ,Java Software Engineer, 
74,Jersey City,,NJ,Principal Software Engineer (Java), 
77,Chattanooga,,TN,Entry Level Software Engineer,37450
79,Tullahoma,,TN,Software Engineer, 
80,Knoxville,,TN,Data Engineer,37902
81,Franklin,,TN,Data Analyst II,37067
83,Nashville,,TN,Business Analyst, 
84,Piney Flats,,TN,Financial/Accounting Software Analyst,37686
86,Memphis,,TN,Data Scientist, 
87,Nashville,,TN,React Software Engineer - Elmington Technology,37203
91,East Rutherford,,NJ,Programmer Analysts, 
92,Thorofare,,NJ,"Managed Services Data Analyst, Associate",08086
93,Mount Laurel,,NJ,Data Business Analyst, 
95,Piscataway,,NJ,Data Engineer, 
97,Montvale,,NJ,Data Engineer Intern Summer 2019,07645
98,Mount Arlington,"$65,000 a year",NJ,Product Specialist - Preclinical Software, 
100,Newark,,NJ,Data Analyst, 
101,Princeton,,NJ,Software Engineer I, 
102,Cinnaminson,,NJ,Data Analyst, 
105,Livingston,,NJ,Audit Data Analyst,07039
106,Bridgewater,,NJ,Business Analyst, 
107,Princeton,,NJ,Software Engineer, 
108,Edison,,NJ,Software Engineer,08817
110,Knoxville,,TN,Software Engineer - Web UI, 
111,Nashville,,TN,Software Test Engineer, 
112,Clarksville,,TN,Electronic Controls Software Engineer,37042
113,Nashville,,TN,Sales Development Representative (Event Management Software)..., 
116,Brentwood,,TN,Healthcare Data Analyst,37027
118,La Vergne,,TN,"Director, Software Development (Digital Services)", 
120,Princeton,,NJ,"Senior Software Engineer, C++",08540
121,Secaucus,,NJ,Senior Software Engineer, 
123,Freehold,,NJ,Software Developer,07728
125,Whippany,,NJ,Data Analyst - Credit Risk, 
127,Township of Hamilton,,NJ,Software Engineer, 
128,Edison,,NJ,Software Developer/Engineer (Python):, 
129,Hancocks Bridge,,NJ,Information Technology Software Engineer, 
131,Franklin,,TN,Software Engineer, 
134,Memphis,,TN,Applications Development Analyst II,38197
135,Franklin,,TN,Data Engineer, 
137,Hermitage,,TN,Business Analyst, 
138,Columbia,,TN,Senior Data Scientist, 
139,Knoxville,,TN,Data Engineer, 
141,Nashville,,TN,"Data Analyst, Business Intelligence", 
143,Franklin,,TN,"Software Engineering Manager - Franklin, TN",37068
144,Knoxville,,TN,Data Analyst / Modeler,37923
146,Newark,,NJ,Associate Software Engineer,07105
148,Somerset,"$75,000 a year",NJ,Programmer Analyst, 
150,Edison,$25 - $50 an hour,NJ,RPA Developer, 
152,Township of Hamilton,,NJ,Software Quality Engineer, 
154,Princeton,,NJ,Sr. Data Scientist, 
155,Kendall Park,"$88,546 a year",NJ,Business Analyst,08824
156,Somerset,$62 an hour,NJ,Software Developer, 
157,Oak Ridge,,TN,Software Developer, 
158,Antioch,,TN,Programmer/Analyst II - Web Development,37013
160,Knoxville,"$90,000 - $105,000 a year",TN,Software Developer, 
164,Franklin,,TN,Software Engineer,37067
166,Nashville,,TN,Data Engineer,37210
169,Holmdel,,NJ,Front-End Developer,07733
170,Jersey City,,NJ,Developer/Analyst,07302
174,Florham Park,,NJ,Business Analyst,07932
176,Mahwah,,NJ,Speech and Data Scientist, 
181,Nashville,,TN,2019 Information Technology Internship, 
182,Nashville,,TN,"Data Analyst, Distribution & Administrative Services", 
183,Knoxville,,TN,Embedded Software Engineer, 
185,Brentwood,,TN,Intermediate Software Engineer, 
186,Lewisburg,,TN,Research Data Analyst / Programmer, 
187,Nashville,,TN,Data Analyst (Tableau // Spotfire),37214
189,Tullahoma,,TN,Software Engineer/Programmer, 
190,North Brunswick,,NJ,Data Analyst with SAS SQL, 
191,Moorestown,,NJ,Software Configuration Analyst Associate,08057
