,Hr_Mean_Wage,Jobs_1000,Occupation,State,Tot_Emp,Yr_Mean_Wage
8,59.51,1.624,Computer and Information Systems Managers,Alabama,3120,123790.0
60,39.41,2.084,Computer Systems Analysts,Alabama,4010,81960.0
62,42.17,3.858,Computer Programmers,Alabama,7420,87700.0
63,44.4,2.883,"Software Developers, Applications",Alabama,5540,92360.0
64,49.7,1.933,"Software Developers, Systems Software",Alabama,3720,103380.0
65,28.63,0.313,Web Developers,Alabama,600,59560.0
67,35.6,2.201,Network and Computer Systems Administrators,Alabama,4230,74050.0
68,48.97,0.429,Computer Network Architects,Alabama,830,101870.0
69,23.33,3.084,Computer User Support Specialists,Alabama,5930,48530.0
70,30.01,0.523,Computer Network Support Specialists,Alabama,1000,62420.0
71,42.26,0.94,"Computer Occupations, All Other",Alabama,1810,87900.0
82,51.97,0.687,Computer Hardware Engineers,Alabama,1320,108090.0
84,52.04,1.101,"Electronics Engineers, Except Computer",Alabama,2120,108230.0
163,0.0,0.17,"Computer Science Teachers, Postsecondary",Alabama,330,88170.0
454,19.49,0.355,Computer Operators,Alabama,680,40540.0
461,14.09,0.274,"Office Machine Operators, Except Computer",Alabama,530,29320.0
525,18.32,0.792,"Computer, Automated Teller, and Office Machine Repairers",Alabama,1520,38110.0
584,18.11,0.826,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Alabama,1590,37670.0
585,21.87,0.242,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Alabama,470,45490.0
710,52.91,1.132,Computer and Information Systems Managers,Alaska,360,110050.0
758,35.03,2.695,Computer Systems Analysts,Alaska,860,72860.0
760,44.7,1.877,Computer Programmers,Alaska,600,92970.0
761,0.0,1.056,"Software Developers, Applications",Alaska,340,0.0
762,0.0,0.395,"Software Developers, Systems Software",Alaska,130,0.0
763,28.87,0.603,Web Developers,Alaska,190,60040.0
765,40.27,3.213,Network and Computer Systems Administrators,Alaska,1020,83770.0
766,51.75,0.281,Computer Network Architects,Alaska,90,107630.0
767,28.67,2.623,Computer User Support Specialists,Alaska,830,59640.0
768,28.52,1.012,Computer Network Support Specialists,Alaska,320,59310.0
769,44.76,1.703,"Computer Occupations, All Other",Alaska,540,93100.0
777,0.0,0.23,Computer Hardware Engineers,Alaska,70,0.0
779,47.38,0.449,"Electronics Engineers, Except Computer",Alaska,140,98560.0
1082,28.22,0.402,Computer Operators,Alaska,130,58700.0
1088,17.69,0.227,"Office Machine Operators, Except Computer",Alaska,70,36780.0
1129,22.27,0.654,"Computer, Automated Teller, and Office Machine Repairers",Alaska,210,46320.0
1241,64.87,2.589,Computer and Information Systems Managers,Arizona,7000,134930.0
1295,52.66,0.097,Computer and Information Research Scientists,Arizona,260,109530.0
1296,42.31,4.871,Computer Systems Analysts,Arizona,13170,88010.0
1298,42.64,1.63,Computer Programmers,Arizona,4410,88700.0
1299,46.21,5.537,"Software Developers, Applications",Arizona,14970,96120.0
1300,50.0,4.191,"Software Developers, Systems Software",Arizona,11330,103990.0
1301,34.22,0.952,Web Developers,Arizona,2570,71180.0
1303,39.79,2.767,Network and Computer Systems Administrators,Arizona,7480,82770.0
1304,48.93,1.029,Computer Network Architects,Arizona,2780,101760.0
1305,24.24,5.159,Computer User Support Specialists,Arizona,13950,50420.0
1306,31.89,1.916,Computer Network Support Specialists,Arizona,5180,66320.0
1307,40.09,2.646,"Computer Occupations, All Other",Arizona,7150,83390.0
1320,53.09,0.422,Computer Hardware Engineers,Arizona,1140,110420.0
1322,48.35,1.976,"Electronics Engineers, Except Computer",Arizona,5340,100570.0
1407,0.0,0.157,"Computer Science Teachers, Postsecondary",Arizona,420,86700.0
1722,22.6,0.0,Computer Operators,Arizona,0,47010.0
1729,16.44,0.479,"Office Machine Operators, Except Computer",Arizona,1300,34200.0
1796,17.38,0.594,"Computer, Automated Teller, and Office Machine Repairers",Arizona,1610,36140.0
1854,19.73,0.404,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Arizona,1090,41030.0
1855,28.78,0.068,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Arizona,180,59850.0
1975,53.56,1.733,Computer and Information Systems Managers,Arkansas,2080,111410.0
2028,46.24,0.03,Computer and Information Research Scientists,Arkansas,40,96190.0
2029,33.64,2.943,Computer Systems Analysts,Arkansas,3530,69970.0
2031,33.43,1.699,Computer Programmers,Arkansas,2040,69520.0
2032,42.07,3.078,"Software Developers, Applications",Arkansas,3690,87500.0
2033,39.7,1.048,"Software Developers, Systems Software",Arkansas,1260,82580.0
2034,24.7,0.284,Web Developers,Arkansas,340,51370.0
2036,32.22,2.269,Network and Computer Systems Administrators,Arkansas,2720,67010.0
2037,41.54,0.646,Computer Network Architects,Arkansas,780,86400.0
2038,19.53,2.971,Computer User Support Specialists,Arkansas,3570,40630.0
2039,22.28,1.455,Computer Network Support Specialists,Arkansas,1750,46350.0
2040,34.82,0.628,"Computer Occupations, All Other",Arkansas,750,72420.0
2051,42.59,0.216,Computer Hardware Engineers,Arkansas,260,88580.0
2053,34.42,0.276,"Electronics Engineers, Except Computer",Arkansas,330,71590.0
2126,0.0,0.226,"Computer Science Teachers, Postsecondary",Arkansas,270,68570.0
2406,16.2,0.234,Computer Operators,Arkansas,280,33700.0
2412,12.55,0.233,"Office Machine Operators, Except Computer",Arkansas,280,26110.0
2476,14.92,0.703,"Computer, Automated Teller, and Office Machine Repairers",Arkansas,840,31030.0
2534,17.52,0.784,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Arkansas,940,36440.0
2535,23.7,0.055,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Arkansas,70,49300.0
2651,84.03,3.191,Computer and Information Systems Managers,California,53270,174790.0
2707,61.8,0.345,Computer and Information Research Scientists,California,5750,128530.0
2708,49.45,4.371,Computer Systems Analysts,California,72980,102860.0
2710,46.28,2.04,Computer Programmers,California,34050,96270.0
2711,60.8,8.498,"Software Developers, Applications",California,141870,126470.0
2712,61.17,4.95,"Software Developers, Systems Software",California,82630,127230.0
2713,40.51,1.267,Web Developers,California,21150,84270.0
2715,46.35,2.438,Network and Computer Systems Administrators,California,40700,96420.0
2716,61.91,1.012,Computer Network Architects,California,16900,128770.0
2717,30.6,4.135,Computer User Support Specialists,California,69030,63660.0
2718,36.94,1.043,Computer Network Support Specialists,California,17420,76830.0
2719,47.34,2.871,"Computer Occupations, All Other",California,47930,98460.0
2734,65.41,1.325,Computer Hardware Engineers,California,22120,136040.0
2736,58.57,1.782,"Electronics Engineers, Except Computer",California,29760,121820.0
2828,0.0,0.139,"Computer Science Teachers, Postsecondary",California,2320,113710.0
3153,24.11,0.207,Computer Operators,California,3450,50160.0
3160,17.45,0.409,"Office Machine Operators, Except Computer",California,6840,36300.0
3235,20.56,0.635,"Computer, Automated Teller, and Office Machine Repairers",California,10590,42760.0
3300,20.16,0.714,"Computer-Controlled Machine Tool Operators, Metal and Plastic",California,11910,41940.0
3301,30.84,0.161,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",California,2690,64150.0
3443,77.78,2.777,Computer and Information Systems Managers,Colorado,7100,161780.0
3497,55.96,0.159,Computer and Information Research Scientists,Colorado,410,116400.0
3498,46.3,3.223,Computer Systems Analysts,Colorado,8240,96310.0
3500,46.2,1.274,Computer Programmers,Colorado,3260,96100.0
3501,50.3,10.648,"Software Developers, Applications",Colorado,27210,104620.0
3502,58.73,5.188,"Software Developers, Systems Software",Colorado,13260,122170.0
3503,34.37,0.838,Web Developers,Colorado,2140,71490.0
3505,40.41,4.147,Network and Computer Systems Administrators,Colorado,10600,84060.0
3506,52.81,1.941,Computer Network Architects,Colorado,4960,109840.0
3507,28.93,5.553,Computer User Support Specialists,Colorado,14190,60170.0
3508,33.74,1.416,Computer Network Support Specialists,Colorado,3620,70190.0
3509,47.39,5.631,"Computer Occupations, All Other",Colorado,14390,98570.0
3524,56.46,1.42,Computer Hardware Engineers,Colorado,3630,117450.0
3526,49.6,2.498,"Electronics Engineers, Except Computer",Colorado,6380,103170.0
3615,0.0,0.182,"Computer Science Teachers, Postsecondary",Colorado,470,76090.0
3924,25.55,0.121,Computer Operators,Colorado,310,53140.0
3931,17.59,0.326,"Office Machine Operators, Except Computer",Colorado,830,36580.0
3998,20.52,0.485,"Computer, Automated Teller, and Office Machine Repairers",Colorado,1240,42680.0
4058,19.77,0.341,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Colorado,870,41130.0
4059,27.57,0.099,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Colorado,250,57340.0
4176,71.03,4.874,Computer and Information Systems Managers,Connecticut,8060,147740.0
4231,0.0,0.028,Computer and Information Research Scientists,Connecticut,50,0.0
4232,46.0,4.331,Computer Systems Analysts,Connecticut,7170,95670.0
4234,42.12,3.175,Computer Programmers,Connecticut,5250,87610.0
4235,49.71,6.348,"Software Developers, Applications",Connecticut,10500,103390.0
4236,50.25,2.571,"Software Developers, Systems Software",Connecticut,4250,104510.0
4237,36.69,0.731,Web Developers,Connecticut,1210,76310.0
4239,44.02,1.895,Network and Computer Systems Administrators,Connecticut,3140,91550.0
4240,58.03,1.016,Computer Network Architects,Connecticut,1680,120700.0
4241,28.07,5.13,Computer User Support Specialists,Connecticut,8490,58390.0
4242,38.84,0.602,Computer Network Support Specialists,Connecticut,1000,80780.0
4243,47.65,1.137,"Computer Occupations, All Other",Connecticut,1880,99110.0
4255,48.98,0.29,Computer Hardware Engineers,Connecticut,480,101870.0
4257,51.44,0.474,"Electronics Engineers, Except Computer",Connecticut,780,106990.0
4337,0.0,0.159,"Computer Science Teachers, Postsecondary",Connecticut,260,88710.0
4631,25.25,0.166,Computer Operators,Connecticut,270,52530.0
4638,18.07,0.433,"Office Machine Operators, Except Computer",Connecticut,720,37590.0
4690,22.96,0.607,"Computer, Automated Teller, and Office Machine Repairers",Connecticut,1010,47760.0
4748,22.04,1.429,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Connecticut,2360,45840.0
4749,32.34,0.466,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Connecticut,770,67270.0
4860,77.24,2.677,Computer and Information Systems Managers,Delaware,1190,160670.0
4909,46.36,6.657,Computer Systems Analysts,Delaware,2950,96440.0
4911,37.12,2.549,Computer Programmers,Delaware,1130,77200.0
4912,49.16,10.478,"Software Developers, Applications",Delaware,4640,102250.0
4913,58.68,0.0,"Software Developers, Systems Software",Delaware,0,122050.0
4914,33.31,0.665,Web Developers,Delaware,290,69280.0
4916,38.44,3.076,Network and Computer Systems Administrators,Delaware,1360,79960.0
4917,59.76,1.545,Computer Network Architects,Delaware,680,124310.0
4918,27.88,4.204,Computer User Support Specialists,Delaware,1860,57990.0
4919,33.2,1.262,Computer Network Support Specialists,Delaware,560,69050.0
4979,0.0,0.308,"Computer Science Teachers, Postsecondary",Delaware,140,93160.0
